reference_id,ref_hotel_name,hotel_id,hotel_name,room_name,main_name,bedrooms_count,room_capacity,room_quality,room_quality_category,room_class,bedding_type,bedding_config,balcony,family_room,club_room,room_view,room_area_m2,room_area_sqft
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Superior Room, 1 King Bed (Palace, with Waterpark Access),NonSmoking",Superior Room,,,superior,enhanced,room,1 king bed,king,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Superior Room, 2 Twin Beds (Palace, with Waterpark Access),NonSmoking",Superior Room,,,superior,enhanced,room,2 twin beds,twins,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 1 King Bed (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 2 Twin Beds (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,2 twin beds,twins,,,,,,
78,One & Only Royal Mirage,1178170,One & Only Royal Mirage,"Deluxe Room, 1 King Bed (Arabian Court, with Waterpark Access),NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,,,
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex Sky One Bedroom Suite, High Floor, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex Sky One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,sky_view,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 King Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 king bed,king,,,,,170.0,1829.9
81,Burj Al Arab,1153890,Burj Al Arab,"Duplex One Bedroom Suite, Butler, Hermès Amenities, Spa and Beach Club Access (170sqm),1 Twin Bed,NonSmoking",Duplex One Bedroom Suite,1.0,,club,very_high,duplex,1 twin bed,twin,,,,,170.0,1829.9
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Twin Room (Palm Manor),2 Double Beds,NonSmoking",Premier Twin Room (Palm Manor),,2.0,premier,luxury,room,2 double beds,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Double Room, 2 Queen Beds (Palm Manor),NonSmoking",Premier Double Room,,2.0,premier,luxury,room,2 queen beds,queens,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Room, 1 King Bed (Palm Manor),NonSmoking",Premier Room,,,premier,luxury,room,1 king bed,king,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Twin Room (Palm Manor),2 Double Beds,NonSmoking",Premier Twin Room (Palm Manor),,2.0,premier,luxury,room,2 double beds,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,"Premier Double Room, 2 Queen Beds (Palm Manor),NonSmoking",Premier Double Room,,2.0,premier,luxury,room,2 queen beds,queens,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor House Premiere Room,Palm Manor House Premiere Room,,,premier,luxury,room,,,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Double Double Room,Palm Manor Premiere Double Double Room,,2.0,premier,luxury,room,double double,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Twin Room,Palm Manor Premiere Twin Room,,2.0,premier,luxury,room,twin,twin,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor House Premiere Room,Palm Manor House Premiere Room,,,premier,luxury,room,,,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Double Double Room,Palm Manor Premiere Double Double Room,,2.0,premier,luxury,room,double double,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Twin Room,Palm Manor Premiere Twin Room,,2.0,premier,luxury,room,twin,twin,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor House Premiere Room,Palm Manor House Premiere Room,,,premier,luxury,room,,,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Double Double Room,Palm Manor Premiere Double Double Room,,2.0,premier,luxury,room,double double,doubles,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor House Premiere Room,Palm Manor House Premiere Room,,,premier,luxury,room,,,,,,,,
82,One & Only The Palm,1356836,One & Only The Palm,Palm Manor Premiere Double Double Room,Palm Manor Premiere Double Double Room,,2.0,premier,luxury,room,double double,doubles,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),1 King Bed,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,1 king bed,king,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),2 Twin Beds,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,2 twin beds,twins,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),1 King Bed,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,1 king bed,king,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),2 Twin Beds,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,2 twin beds,twins,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Family Room (Ocean Deluxe),1 King Bed and 2 Twin Beds,NonSmoking",Family Room (Ocean Deluxe),,,deluxe,high,room,2 twin beds,twins,,1.0,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),1 King Bed,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,1 king bed,king,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),2 Twin Beds,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,2 twin beds,twins,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),1 King Bed,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,1 king bed,king,,,,,,
83,"The Ritz-Carlton, Jumeirah",1180251,"The Ritz-Carlton, Jumeirah","Deluxe Room (Ocean),2 Twin Beds,NonSmoking",Deluxe Room (Ocean),,,deluxe,high,room,2 twin beds,twins,,,,,,
84,Four Seasons Resort at Jumeirah Beach,1243859,Four Seasons Resort at Jumeirah Beach,"Deluxe Room, 2 Queen Beds, City View,NonSmoking",Deluxe Room,,,deluxe,high,room,2 queen beds,queens,,,,city_view,,
84,Four Seasons Resort at Jumeirah Beach,1243859,Four Seasons Resort at Jumeirah Beach,"Deluxe Room, 1 King Bed, City View,NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,city_view,,
84,Four Seasons Resort at Jumeirah Beach,1243859,Four Seasons Resort at Jumeirah Beach,"Deluxe Room, 1 King Bed, Resort View,NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,,,
84,Four Seasons Resort at Jumeirah Beach,1243859,Four Seasons Resort at Jumeirah Beach,"Premium Room, 1 King Bed (Dubai Skyline),NonSmoking",Premium Room,,,premium,high,room,1 king bed,king,,,,sky_view,,
84,Four Seasons Resort at Jumeirah Beach,1243859,Four Seasons Resort at Jumeirah Beach,"Deluxe Room, 1 King Bed, Sea View,NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,sea_view,,
85,Waldorf Astoria The Palm,1019759,Waldorf Astoria The Palm,"Standard Room,1 Double Bed,NonSmoking",Standard Room,,,standard,entry,room,1 double bed,double,,,,,,
85,Waldorf Astoria The Palm,1019759,Waldorf Astoria The Palm,"Standard Room,2 Twin Beds,NonSmoking",Standard Room,,,standard,entry,room,2 twin beds,twins,,,,,,
85,Waldorf Astoria The Palm,1019759,Waldorf Astoria The Palm,"Standard Room,1 Double Bed,NonSmoking",Standard Room,,,standard,entry,room,1 double bed,double,,,,,,
85,Waldorf Astoria The Palm,1019759,Waldorf Astoria The Palm,"Standard Room,2 Twin Beds,NonSmoking",Standard Room,,,standard,entry,room,2 twin beds,twins,,,,,,
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking",Deluxe Room,,,deluxe,high,room,2 twin beds,twins,,,,garden_view,,
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 1 King Bed, Garden View,NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,garden_view,,
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking",Deluxe Room,,,deluxe,high,room,2 twin beds,twins,,,,garden_view,,
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 1 King Bed, Garden View,NonSmoking",Deluxe Room,,,deluxe,high,room,1 king bed,king,,,,garden_view,,
86,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE",1103686,"DoubleTree by Hilton Resort & Spa Marjan Island, UAE","Deluxe Room, 2 Twin Beds, Garden View,NonSmoking",Deluxe Room,,,deluxe,high,room,2 twin beds,twins,,,,garden_view,,
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Darling Harbour 1 King,1 King Bed,NonSmoking",Executive Darling Harbour 1 King,,,executive,very_high,other,1 king bed,king,,,,,,
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Opera House City View 1 King,1 King Bed,NonSmoking",Executive Opera House City View 1 King,,,executive,very_high,other,1 king bed,king,,,,city_view,,
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Opera House City View 2 Twins,2 Twin Beds,NonSmoking",Executive Opera House City View 2 Twins,,,executive,very_high,other,2 twin beds,twins,,,,city_view,,
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Horizon Darling Harbour 1 King,1 King Bed,NonSmoking",Horizon Darling Harbour 1 King,,,,,other,1 king bed,king,,,,,,
1,Shangri-La Sydney,1151987,Shangri-La Sydney,"Executive Darling Harbour 1 King,1 King Bed,NonSmoking",Executive Darling Harbour 1 King,,,executive,very_high,other,1 king bed,king,,,,,,
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Tower (Bonaire/Curacao Tower, Project View),NonSmoking",Room,,,,,room,1 king bed,king,,,,limited_view,,
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 2 Double Beds, Garden View,NonSmoking",Room,,,,,room,2 double beds,doubles,,,,garden_view,,
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Garden View,NonSmoking",Room,,,,,room,1 king bed,king,,,,garden_view,,
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 1 King Bed, Tower (Bonaire/Curacao Tower, Project View),NonSmoking",Room,,,,,room,1 king bed,king,,,,limited_view,,
0,"Hilton Aruba Caribbean Resort & Casino, Aruba",1168701,"Hilton Aruba Caribbean Resort & Casino, Aruba","Room, 2 Double Beds, Garden View,NonSmoking",Room,,,,,room,2 double beds,doubles,,,,garden_view,,
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room,1 Double Bed,NonSmoking",Deluxe Room,,,deluxe,high,room,1 double bed,double,,,,,,
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room,1 Double Bed,NonSmoking",Deluxe Room,,,deluxe,high,room,1 double bed,double,,,,,,
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room (Grand),1 King Bed,NonSmoking",Deluxe Room (Grand),,,deluxe,high,room,1 king bed,king,,,,,,
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Room (Grand),1 King Bed,NonSmoking",Deluxe Room (Grand),,,deluxe,high,room,1 king bed,king,,,,,,
64,"Chedi Andermatt, Szwajcaria",1001207,"Chedi Andermatt, Szwajcaria","Deluxe Suite (Junior),1 King Bed,NonSmoking",Deluxe Suite (Junior),,,deluxe,high,suite,1 king bed,king,,,,,,
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Ocean View Junior Suite,1 King Bed,NonSmoking",Ocean View Junior Suite,,,junior,entry,suite,1 king bed,king,,,,ocean_view,,
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Beach Front Junior Suite,1 King Bed,NonSmoking",Beach Front Junior Suite,,,junior,entry,suite,1 king bed,king,,,,beach_view,,
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Ocean View Two Bedrooms Suite,1 King Bed and 2 Double Beds,NonSmoking",Ocean View Two Bedrooms Suite,2.0,,,,suite,2 double beds,doubles,,,,ocean_view,,
4,"Tortuga Bay Puntacana Resort & Club, Dominikana",1252669,"Tortuga Bay Puntacana Resort & Club, Dominikana","Beach Front Two Bedrooms Suite,1 King Bed and 2 Double Beds,NonSmoking",Beach Front Two Bedrooms Suite,2.0,,,,suite,2 double beds,doubles,,,,beach_view,,
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Mountain View,1 Double Bed and 1 Twin Bed,NonSmoking",Double Room,,2.0,,,room,1 double bed,double,1.0,,,mountain_view,,
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Mountain View,1 Double Bed and 1 Twin Bed,NonSmoking",Double Room,,2.0,,,room,1 double bed,double,1.0,,,mountain_view,,
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Sea View,1 Double Bed and 1 Twin Bed,NonSmoking",Double Room,,2.0,,,room,1 double bed,double,1.0,,,sea_view,,
18,"Ikos Dassia, Korfu",1155574,"Ikos Dassia, Korfu","Double Room, Balcony, Sea View,1 Double Bed and 1 Twin Bed,NonSmoking",Double Room,,2.0,,,room,1 double bed,double,1.0,,,sea_view,,
25,Marbella Club,1017199,Marbella Club,classic one bedroom,classic one bedroom,1.0,,classic,entry,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,"classic one bedroom, view",classic one bedroom,1.0,,classic,entry,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,classic one bedroom,classic one bedroom,1.0,,classic,entry,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,premium one bedroom,premium one bedroom,1.0,,premium,high,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,"classic one bedroom, view",classic one bedroom,1.0,,classic,entry,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,"premium one bedroom, view",premium one bedroom,1.0,,premium,high,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,premium one bedroom,premium one bedroom,1.0,,premium,high,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,"premium one bedroom, view",premium one bedroom,1.0,,premium,high,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,classic two bedroom,classic two bedroom,2.0,,classic,entry,room,,,,,,,,
25,Marbella Club,1017199,Marbella Club,classic two bedroom,classic two bedroom,2.0,,classic,entry,room,,,,,,,,
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Classic Double Room,1 King Bed,NonSmoking",Classic Double Room,,2.0,classic,entry,room,1 king bed,king,,,,,,
28,"El Fuerte Marbella, Hiszpania",1170556,"El Fuerte Marbella, Hiszpania","Superior Double Room,1 King Bed,NonSmoking",Superior Double Room,,2.0,superior,enhanced,room,1 king bed,king,,,,,,
